"Approve the process","تأكيد العملية"
"Approve this operation:","تأكيد هذه العملية :"
"Are you sure you want to approve this operation?","هل انت متأكد انك تريد تأكيد هذه العملية ؟"
"Business Bot Setting","ضبط بوت الاعمال" 
"Channel","القناة"
"Click here to approve the remittance or reject","اضغط هنا لتأكيد الحوالة او الغاءها " 
"Expaired Otp"," رمز التاكيدمنتهي "
"Expaired Otp We will sent new otp","رمز التاكيد منتهي , سوف يتم ارسال رمز جديد" 
"Expired At ","انتهي في "
"Frappe Support","الدعم الفني من الفرابي "
"Is Used","هل مستخدم"
"My Profile","البيانات الخاصة بي "
"My Settings","الضبط الخاص بي "
"No client","لا يوجد عميل "
"Operation Approval","تأكيد العملية"
"Otp","رمز التأكيد"
"Reject the process","رفض العملية"
"Reject this operation:","رفض هذه العملية"
"SMS","رسالة نصية"
"This user not allowed to make wallet payment","هذا المستخدم ليس مخول له بإنشاء مدفوعات فردية"
"Used At ","تاريخ الاستخدام" 
"Used OTP code","رمز التأكيد المستخدم"
"Wallet User ","مستخدم المحفظة"
"Wrong Otp","رمز تأكيد خاطئ"
"the role in not wallet maker","الدور ليس الصانع "
"this user have no permition to submit wallet payment","هذا المستخدم ليس مخول له بإعتماد مدفوعات فردية "
"valid OTP code","رمز التأكيد في فترة الصلاحية المتاحة"
"Send Welcome Message","ارسال رسالة ترحيبيه"

